Country,Region,17 Danceability,17 Valence,17 Energy,18 Danceability,18 Valence,18 Energy,19 Danceability,19 Valence,19 Energy,17 Happiness,18 Happiness,19 Happiness,17 18 Valence,17 18 Danceability,17 18 Energy,17 18 Happiness,18 19 Danceability,18 19 Valence,18 19 Energy,18 19 Happiness,17 Rank,18 Rank,19 Rank,Main Language,Spanish
Poland,Central and Eastern Europe,0.69944,0.525598,0.66716,0.72584,0.482666,0.6977,0.72588,0.53452,0.64096,5.973,6.123,6.182,-0.042932,0.0264,0.03054,0.150,0.00004,0.051854,-0.05674,0.059,46,42,40,Polish,No
Portugal,Western Europe,0.68864,0.542358,0.6685,0.73118,0.467966,0.64054,0.74366,0.53314,0.63608,5.195,5.41,5.693,-0.074392,0.04254,-0.02796,0.215,0.01248,0.065174,-0.00446,0.283,89,77,66,Portuguese,No
Singapore,Southeastern Asia,0.6643,0.512618,0.63968,0.61274,0.406534,0.62078,0.6366,0.46518,0.57224,6.572,6.343,6.262,-0.106084,-0.05156,-0.0189,-0.229,0.02386,0.058646,-0.04854,-0.081,26,34,34,Malay,No
Slovakia,Central and Eastern Europe,0.6859,0.533098,0.67814,0.7174,0.437226,0.6829,0.69868,0.473974,0.62582,6.098,6.173,6.198,-0.095872,0.0315,0.00476,0.075,-0.01872,0.036748,-0.05708,0.025,40,39,38,Slovak,No
Spain,Western Europe,0.72656,0.69622,0.79274,0.77382,0.62288,0.73638,0.76872,0.68,0.68844,6.403,6.31,6.354,-0.07334,0.04726,-0.05636,-0.093,-0.0051,0.05712,-0.04794,0.044,34,36,30,Spanish,Yes
Sweden,Western Europe,0.6514,0.508468,0.6784,0.6959,0.475206,0.63958,0.69876,0.48626,0.582946,7.284,7.314,7.343,-0.033262,0.0445,-0.03882,0.030,0.00286,0.011054,-0.056634,0.029,9,9,7,Swedish,No
Switzerland,Western Europe,0.68776,0.543558,0.68128,0.73152,0.478246,0.65556,0.69034,0.513184,0.64562,7.494,7.487,7.48,-0.065312,0.04376,-0.02572,-0.007,-0.04118,0.034938,-0.00994,-0.007,4,5,6,Swiss German,No
Taiwan,Eastern Asia,0.61208,0.437958,0.59748,0.59528,0.38452,0.547004,0.5832,0.39454,0.53094,6.422,6.441,6.446,-0.053438,-0.0168,-0.050476,0.019,-0.01208,0.01002,-0.016064,0.005,33,26,25,Mandarin Chinese,No
Turkey,Middle East and Northern Africa,0.68236,0.578254,0.69936,0.69862,0.470482,0.64412,0.7248,0.43942,0.61046,5.500,5.483,5.373,-0.107772,0.01626,-0.05524,-0.017,0.02618,-0.031062,-0.03366,-0.11,69,74,79,Turkish,No
United Kingdom,Western Europe,0.68338,0.558324,0.67324,0.6964,0.515616,0.6713,0.72128,0.5432,0.63336,6.714,7.19,7.054,-0.042708,0.01302,-0.00194,0.476,0.02488,0.027584,-0.03794,-0.136,19,11,15,English,No
United States,North America,0.7425,0.485424,0.59338,0.74738,0.42658,0.59264,0.73258,0.42206,0.55054,6.993,6.886,6.892,-0.058844,0.00488,-0.00074,-0.107,-0.0148,-0.00452,-0.0421,0.006,14,18,19,English,No
Uruguay,Latin America and Caribbean,0.72354,0.70774,0.8063,0.75386,0.62726,0.7305,0.73916,0.66738,0.71506,6.454,6.379,6.293,-0.08048,0.03032,-0.0758,-0.075,-0.0147,0.04012,-0.01544,-0.086,28,31,33,Spanish,Yes
